date,description,amount,source_file,match_score,name_sim,date_delta_days,plaid_txn_id
2026-03-18,Online Transfer From Chk ...3122 Transaction#: 28484834470,1000.00,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,moBNmLw9QOTy07vL4mawt548M03M6KH9QN5rq
2026-03-23,Card Purchase 03/21 Wl *Steam Purchase 425-889-9642 WA Card -,-5.99,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,zqJbg9XmQ1hbBx3JQXzYseyMOjnOzEFLRKwAk
2026-03-26,Card Purchase With Pin 03/26 Arco #42173 Ampm Cathedral Cit CA Card -,-4.14,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,NLDpZgvMBdcAQVJow0D1IazvrELrY1sOQ3BK5
2026-03-30,Card Purchase 03/27 Popeyes 14465 San Bernardin CA Card 5058 -,-17.39,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,pJKbX3DanRTAE369b0NDI1gDJnKJYvUyDa0Or
2026-04-01,Card Purchase 03/31 Kuro Games Hong Kong Card 5058 -,-4.99,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,nb3Nq169QMSrbgNx7aXASKnjAd0ALkf3N7m8J
2026-04-01,Payment Sent 03/31 Cash App*Chaz Oakland CA Card 5058 -,-23.00,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,QPqprE5xKLcjByRXn49dHxy04az4MgHLMJQkP
2026-04-02,ATM Check Deposit 04/02 1693 E 2ND St Beaumont CA Card 5058,571.72,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,RqBX3QjOkDhrMZ8w1azKSJYnqj4q5wfno168B
2026-04-06,Card Purchase 04/04 Pp*Apple.Com/Bill 800-275-2273 CA Card 5058 -,-2.99,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,OD1p79QP3wcv5ZAV6jNLTmryg9VgYzibe47MN
2026-04-06,Card Purchase With Pin 04/06 Arco 904944 South Pasaden CA Card 5058 -,-4.74,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,7dzXE5m90jupvJrLa0QqT7xoYgaYZRhpEYKO5
2026-04-06,Card Purchase With Pin 04/05 Morongo Band of Missio Cabazon CA Card -,-40.35,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,96MXE7wPr4SgRDa1xV05F5ZMqVLqj4Hw4yNak
2026-04-06,Card Purchase 04/05 Darumaya Banning CA Card 5058 -,-45.09,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,VKkpPdOrjBUJXY5b3mPAuxLgjpXj3nHEYk0Qz
2026-04-07,Card Purchase 04/07 Dd *Doordashdashpass Doordash.Com CA -,-9.99,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,oJyNaqL0QETvQR6P81VJTAKrByaBpeuKyO1aB
2026-04-07,Card Purchase 04/07 Dd *Doordash Kwankitc 855-431-0459 CA Card -,-36.82,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,bnmpP59b7xSEwyjqbmkKCp4Aqegqz7IKo94AJ
2026-04-08,Card Purchase 04/08 Wutheringwaves.Kurogam Wanchai Card 5058 -,-9.99,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,XAvpkDjw4ySZ8nkmK6wDCnp5aj0axEfxy6B77
2026-04-10,Card Purchase With Pin 04/10 Rocket 670 San Bernardin CA Card 5058 -,-3.29,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,pJKbX3DanRTAE369b0NDI1gDJnKJYvUyDa0OX
2026-04-13,Card Purchase With Pin 04/11 Arco #42620 Ampm Palm Springs CA Card -,-20.39,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,QPqprE5xKLcjByRXn49dHxy04az4MgHLMJQkA
2026-04-14,Card Purchase With Pin 04/14 Circle K Dealer # 0201 Indio CA Card 5058 -,-30.00,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,RqBX3QjOkDhrMZ8w1azKSJYnqj4q5wfno168J
2026-04-15,Monthly Service Fee -,-15.00,9092 Statement Apr 2026.pdf,3.0000,1.0000,0,M6LpjoZxqXSk5DBKdmvPHq01pzMpAeU9OPAQE
2026-04-20,ATM Check Deposit 04/18 1693 E 2ND St Beaumont CA Card 5058,768.47,9092 Statement May 2026.pdf,3.0000,1.0000,0,OD1p79QP3wcv5ZAV6jNLTmryg9VgYzibe47Mq
2026-04-20,Card Purchase 04/19 Tst* Yum Yum Donut - 42 Beaumont CA Card -,-11.25,9092 Statement May 2026.pdf,2.0000,0.5000,0,VKkpPdOrjBUJXY5b3mPAuxLgjpXj3nHEYk0Qo
2026-04-21,Card Purchase 04/20 Sharetea Beaumont Beaumont CA Card 5058 -,-7.65,9092 Statement May 2026.pdf,3.0000,1.0000,0,96MXE7wPr4SgRDa1xV05F5ZMqVLqj4Hw4yNa9
2026-04-23,Card Purchase 04/22 Starbucks 8007827282 800-782-7282 WA Card -,-5.45,9092 Statement May 2026.pdf,3.0000,1.0000,0,gJ6OKRzyQoTgNq8VDYw9FBo6qn3q71InaAQZP
2026-04-23,Payment Received 04/23 Cash App*Albert*Cash O Oakland CA Card,20.00,9092 Statement May 2026.pdf,3.0000,1.0000,0,7dzXE5m90jupvJrLa0QqT7xoYgaYZRhpEYKOJ
