id,date,desc,amount,category,plaidCategory,account,institution,lastUpdated
moBNmLw9QOTy07vL4ma4SVB0mEnoENi3zzJm6,2026-06-07,Plaid Technologies Inc,-3.3,Other,GENERAL_SERVICES,pJKbX3DanRTAE369b0NDI1g0y8mzZ8Hym1V7w,Chase,2026-06-08T10:45:01.554Z
dRbOo7x3z8uoajDkqveqivoJAagKaXiyMMV8J,2026-06-07,DoorDash,-9.99,Dining,FOOD_AND_DRINK,pJKbX3DanRTAE369b0NDI1g0y8mzZ8Hym1V7w,Chase,2026-06-08T10:45:01.554Z
BKRX0LykbgUwvZLV1nQ0tEQee4eAB7svpNj38,2026-06-06,Chinatown,-19.41,Dining,FOOD_AND_DRINK,pJKbX3DanRTAE369b0NDI1g0y8mzZ8Hym1V7w,Chase,2026-06-08T10:45:01.554Z
3meXzjRdKkcJnqA71Kb4HXRBB1B9QDtP5L0o0,2026-06-06,Robinhood,-5,Transfer,TRANSFER_OUT,pJKbX3DanRTAE369b0NDI1g0y8mzZ8Hym1V7w,Chase,2026-06-08T10:45:01.554Z
VKkpPdOrjBUJXY5b3mPzsdg4EdQYMEU48o8me,2026-06-04,Apple,-2.99,Shopping,GENERAL_MERCHANDISE,pJKbX3DanRTAE369b0NDI1g0y8mzZ8Hym1V7w,Chase,2026-06-08T10:45:01.554Z
kZPOozxNQ9S0bP6ax5dnCkE45xX8YKcZz9LeQD,2026-06-02,Chipotle Mexican Grill,-23.65,Dining,FOOD_AND_DRINK,pJKbX3DanRTAE369b0NDI1g0y8mzZ8Hym1V7w,Chase,2026-06-08T10:45:01.554Z
vLrbZJyPXwcpB913bY6ATpk3JDdQZafPxM5eEz,2026-06-01,Dave's Hot Chicken,-21.71,Dining,FOOD_AND_DRINK,pJKbX3DanRTAE369b0NDI1g0y8mzZ8Hym1V7w,Chase,2026-06-08T10:45:01.554Z
jb1OaeXMQ7SLoXpwyxBjTx4VJr5p9EFkgZy79b,2026-06-01,REMOTE ONLINE DEPOSIT # 1,915.91,Income,TRANSFER_IN,pJKbX3DanRTAE369b0NDI1g0y8mzZ8Hym1V7w,Chase,2026-06-08T10:45:01.554Z
AyMX9w3JobUdnEmjKovriR57OXZPeQIxrNR4Kj,2026-06-01,The Home Depot,-4.83,Shopping,HOME_IMPROVEMENT,pJKbX3DanRTAE369b0NDI1g0y8mzZ8Hym1V7w,Chase,2026-06-08T10:45:01.554Z
0AMXNyrgB3S4zpm3QVkdI0oP1VQMdYFBZe0q3j,2026-06-01,Wuthering Waves,-4.99,Entertainment,ENTERTAINMENT,pJKbX3DanRTAE369b0NDI1g0y8mzZ8Hym1V7w,Chase,2026-06-08T10:45:01.554Z
