date,description,amount,source_file
2021-01-25,Online Transfer From Chk ...3122 Transaction#: 11056468891,1000.00,9092 Statement Jan 2021.pdf
2021-01-27,Card Purchase 01/26 Mbs Direct 800-325-3252 MO Card 5058 -,-39.99,9092 Statement Jan 2021.pdf
2021-01-27,Card Purchase 01/27 Apple.Com/Bill 866-712-7753 CA Card 5058 -,-9.99,9092 Statement Jan 2021.pdf
2021-01-29,Card Purchase 01/28 Mbs Direct 800-325-3252 MO Card 5058 -,-37.57,9092 Statement Jan 2021.pdf
2021-04-20,"Card Purchase 04/20 Thrift Books Global, 253-275-2241 WA Card -",-30.40,9092 Statement Apr 2021.pdf
2021-04-26,"Card Purchase 04/24 Univ CA, Santa Barb On 800-3398131 CA Card -",-32.50,9092 Statement Apr 2021.pdf
2021-04-26,"Card Purchase 04/24 Univ CA, Santa Barb On 800-3398131 CA Card -",-0.89,9092 Statement Apr 2021.pdf
2021-07-22,Card Purchase 07/21 Mihoyo Limited Hong Kong Card 5058 -,-4.99,9092 Statement Jul 2021.pdf
2021-07-27,Card Purchase 07/26 Amazon.Com*2E4E22Uy0 Amzn.Com/Bill WA -,-62.42,9092 Statement Jul 2021.pdf
2021-09-14,Card Purchase 09/13 Af*Blue Horizon Manag 805-586-2583 CA Card -,-40.00,9092 Statement Aug 2021.pdf
2021-09-15,Online Transfer From Chk ...3122 Transaction#: 12597705366,6000.00,9092 Statement Aug 2021.pdf
2021-09-16,Uc Santa Barbara Schoolfees 01917046 Web ID: 9560061451 -,-5899.66,9092 Statement Aug 2021.pdf
2021-09-23,Online Transfer From Sav ...2257 Transaction#: 12647663070,5000.00,9092 Statement Sep 2021.pdf
2021-09-24,Card Purchase 09/24 Extempore App Httpsextempor MN Card 5058 -,-12.99,9092 Statement Sep 2021.pdf
2021-09-27,Card Purchase 09/25 Carls Jr 1100427 Goleta CA Card 5058 -,-13.34,9092 Statement Sep 2021.pdf
2021-09-27,Card Purchase 09/26 Jack IN The Box 0159 Goleta CA Card 5058 -,-7.42,9092 Statement Sep 2021.pdf
2021-09-28,Ucsb Ucsb Eref PPD ID: 5956006145,1000.00,9092 Statement Sep 2021.pdf
2021-09-28,Card Purchase 09/27 Jack IN The Box 0159 Goleta CA Card 5058 -,-6.35,9092 Statement Sep 2021.pdf
2021-09-28,Card Purchase 09/28 Jack IN The Box 0159 Goleta CA Card 5058 -,-8.62,9092 Statement Sep 2021.pdf
2021-09-28,Card Purchase With Pin 09/28 Ucsb Univ Ctr Bookst Santa Barbara CA -,-211.38,9092 Statement Sep 2021.pdf
2021-09-29,Card Purchase 09/28 Mhe*Mcgraw-Hill Ecomm 800-648-3045 NY -,-62.99,9092 Statement Sep 2021.pdf
2021-09-29,Card Purchase 09/28 Uber Eats Help.Uber.Com CA Card 5058 -,-6.36,9092 Statement Sep 2021.pdf
2021-09-29,Card Purchase 09/28 Uber Eats Help.Uber.Com CA Card 5058 -,-3.13,9092 Statement Sep 2021.pdf
2021-09-29,Recurring Card Purchase 09/28 Discord* Nitromonthl Httpsdiscord. CA Card -,-9.99,9092 Statement Sep 2021.pdf
2021-10-04,Card Purchase 10/03 Uber Eats Help.Uber.Com CA Card 5058 -,-20.72,9092 Statement Sep 2021.pdf
2021-10-04,Card Purchase 10/03 Uber Eats Help.Uber.Com CA Card 5058 -,-3.00,9092 Statement Sep 2021.pdf
2021-10-04,Card Purchase 10/03 Carls Jr 1100427 Goleta CA Card 5058 -,-13.34,9092 Statement Sep 2021.pdf
2021-10-06,Card Purchase 10/05 Carls Jr 1100427 Goleta CA Card 5058 -,-13.34,9092 Statement Sep 2021.pdf
2021-10-08,Card Purchase 10/06 IN N Out Burger 108 Goleta CA Card 5058 -,-7.33,9092 Statement Sep 2021.pdf
2021-10-12,Card Purchase 10/07 Meunfan Thai Cafe Goleta CA Card 5058 -,-13.95,9092 Statement Sep 2021.pdf
2021-10-12,Card Purchase 10/08 IN N Out Burger 108 Goleta CA Card 5058 -,-7.33,9092 Statement Sep 2021.pdf
2021-10-12,Card Purchase 10/10 IN N Out Burger 108 Goleta CA Card 5058 -,-7.33,9092 Statement Sep 2021.pdf
2021-10-12,Card Purchase 10/11 Uber Eats Help.Uber.Com CA Card 5058 -,-18.29,9092 Statement Sep 2021.pdf
2021-10-12,Card Purchase 10/11 Uber Eats Help.Uber.Com CA Card 5058 -,-4.00,9092 Statement Sep 2021.pdf
2021-10-13,Card Purchase 10/12 Meunfan Thai Cafe 805-681-0588 CA Card -,-10.60,9092 Statement Sep 2021.pdf
2021-10-13,Card Purchase 10/12 IN N Out Burger 108 Goleta CA Card 5058 -,-7.33,9092 Statement Sep 2021.pdf
2021-10-14,Online Transfer From Sav ...2257 Transaction#: 12796781234,4820.00,9092 Statement Sep 2021.pdf
2021-10-15,Payment Sent 10/14 Cash App*Vivek Shir 8774174551 CA Card -,-476.58,9092 Statement Sep 2021.pdf
2021-10-18,Card Purchase 10/18 Uber Eats Help.Uber.Com CA Card 5058 -,-18.53,9092 Statement Sep 2021.pdf
2021-10-18,Card Purchase 10/18 Uber Eats Help.Uber.Com CA Card 5058 -,-3.00,9092 Statement Sep 2021.pdf
2021-10-19,Card Purchase 10/18 Ops* Coinmach Sunnysi 516-349-8555 NY -,-50.00,9092 Statement Oct 2021.pdf
2021-10-19,Check OR Supply Order PPD ID: 1410216800 -,-20.00,9092 Statement Oct 2021.pdf
2021-10-22,Card Purchase 10/21 Mihoyo Limited Hong Kong Card 5058 -,-4.99,9092 Statement Oct 2021.pdf
2021-10-22,Card Purchase 10/22 Domino's 7816 805-564-4303 CA Card 5058 -,-23.74,9092 Statement Oct 2021.pdf
